"服务大类","具体服务","转发域名","DNS 服务器","记录类型","来源状态","说明"
"Google 生态","Firebase / Crashlytics","firebaseapp.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Firebase / Crashlytics","firebaseio.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Gemini / DeepMind","deepmind.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Gemini / DeepMind","deepmind.google","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Gemini / DeepMind","generativeai.google","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 核心服务","about.google","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 核心服务","blog.google","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 核心服务","blogger.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 核心服务","blogspot.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 核心服务","g.co","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 核心服务","goo.gl","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 核心服务","google.cn","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 核心服务","google.co.jp","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 核心服务","google.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 核心服务","google.com.hk","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 核心服务","google.com.sg","","FORWARD_DOMAIN","本次补漏","补齐 Google、Firebase、YouTube 的根域、区域域或 CDN"
"Google 生态","Google 核心服务","google.com.tw","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 核心服务","google.dev","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 核心服务","googleblog.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 核心服务","withgoogle.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 静态资源 / CDN","googleusercontent.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 静态资源 / CDN","gstatic.cn","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google 静态资源 / CDN","gstatic.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Analytics","google-analytics.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Cloud / API","appspot.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Cloud / API","cloudfunctions.net","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Cloud / API","gcr.io","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Cloud / API","googleapis.cn","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Cloud / API","googleapis.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Cloud / API","googlecloud.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Cloud / API","pkg.dev","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Cloud / API","run.app","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Cloud / API","usercontent.goog","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Earth","googleearth.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Source","googlesource.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Workspace / Drive","gmail.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Workspace / Drive","googledrive.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Workspace / Drive","googlegroups.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Google Workspace / Drive","googlemail.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","reCAPTCHA","recaptcha.net","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","Widevine DRM","widevine.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","YouTube","ggpht.cn","","FORWARD_DOMAIN","本次补漏","补齐 Google、Firebase、YouTube 的根域、区域域或 CDN"
"Google 生态","YouTube","ggpht.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","YouTube","googlevideo.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","YouTube","withyoutube.com","","FORWARD_DOMAIN","本次补漏","补齐 Google、Firebase、YouTube 的根域、区域域或 CDN"
"Google 生态","YouTube","youtu.be","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","YouTube","youtube-nocookie.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","YouTube","youtube.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","YouTube","youtubeeducation.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","YouTube","yt.be","","FORWARD_DOMAIN","现有保留","原清单保留"
"Google 生态","YouTube","ytimg.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","Discord","dis.gd","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","Discord","discord.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","Discord","discord.gg","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","Discord","discord.media","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","Discord","discordapp.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","Discord","discordapp.net","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","Discord","discordcdn.com","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","Discord","discordstatus.com","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","Instagram","cdninstagram.com","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","Instagram","ig.me","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","Instagram","igcdn.com","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","Instagram","instagram.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","Telegram","cdn-telegram.org","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","Telegram","t.me","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","Telegram","telegra.ph","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","Telegram","telegram-cdn.org","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","Telegram","telegram.me","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","Telegram","telegram.org","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","Telegram","telesco.pe","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","TikTok","byteoversea.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","TikTok","ibytedtos.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","TikTok","ibyteimg.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","TikTok","muscdn.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","TikTok","musical.ly","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","TikTok","tiktok-row.net","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","TikTok","tiktok.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","TikTok","tiktokcdn-eu.com","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","TikTok","tiktokcdn-us.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","TikTok","tiktokcdn.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","TikTok","tiktokrow-cdn.com","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","TikTok","tiktokv.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","TikTok","tiktokv.eu","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","TikTok","tiktokv.us","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","TikTok","ttoverseaus.net","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","TikTok","ttwstatic.com","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","X / Twitter","t.co","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","X / Twitter","twimg.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","X / Twitter","twitter.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"社交平台","X / Twitter","twitteroauth.com","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","X / Twitter","twvid.com","","FORWARD_DOMAIN","本次补漏","补齐社交平台媒体、短链接、认证或地区 CDN"
"社交平台","X / Twitter","x.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","IMDb","imdb.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","IMDb","imdbstatic.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","IMDb","media-imdb.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","Last.fm","audioscrobbler.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","Last.fm","last.fm","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","Netflix","fast.com","","FORWARD_DOMAIN","本次补漏","补齐 Netflix 图片、搜索、测速或服务接口"
"影音媒体","Netflix","netflix.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","Netflix","netflix.net","","FORWARD_DOMAIN","本次补漏","补齐 Netflix 图片、搜索、测速或服务接口"
"影音媒体","Netflix","nflxext.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","Netflix","nflximg.com","","FORWARD_DOMAIN","本次补漏","补齐 Netflix 图片、搜索、测速或服务接口"
"影音媒体","Netflix","nflximg.net","","FORWARD_DOMAIN","本次补漏","补齐 Netflix 图片、搜索、测速或服务接口"
"影音媒体","Netflix","nflxsearch.net","","FORWARD_DOMAIN","本次补漏","补齐 Netflix 图片、搜索、测速或服务接口"
"影音媒体","Netflix","nflxso.net","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","Netflix","nflxvideo.net","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","Pornhub","phncdn.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","Pornhub","phprcdn.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","Pornhub","pornhub.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","Pornhub","pornhubpremium.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","TMDB","themoviedb.org","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","TMDB","tmdb.org","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","TVDB","thetvdb.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"影音媒体","TVDB","thetvdb.org","","FORWARD_DOMAIN","现有保留","原清单保留"
"游戏平台","Nintendo","nintendo-europe.com","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Nintendo","nintendo.co.jp","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Nintendo","nintendo.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"游戏平台","Nintendo","nintendo.com.hk","","FORWARD_DOMAIN","现有保留","原清单保留"
"游戏平台","Nintendo","nintendo.net","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Nintendo","nintendo.tw","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Nintendo","nintendonetwork.net","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Nintendo","nintendoswitch.com","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Steam / Valve","s.team","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Steam / Valve","steam-api.com","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Steam / Valve","steam-chat.com","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Steam / Valve","steam.tv","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Steam / Valve","steamcommunity.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"游戏平台","Steam / Valve","steamconnecttest.com","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Steam / Valve","steamcontent.com","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Steam / Valve","steamdeck.com","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Steam / Valve","steamgames.com","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Steam / Valve","steampowered.com","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Steam / Valve","steamserver.net","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Steam / Valve","steamstatic.com","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Steam / Valve","steamusercontent.com","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Steam / Valve","valve.net","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"游戏平台","Steam / Valve","valvesoftware.com","","FORWARD_DOMAIN","本次补漏","补齐 Steam/Nintendo 商店、内容、账号与在线服务"
"开发与下载","Apache","apache.org","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","Debian","debian.org","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","Docker","compose-spec.io","","FORWARD_DOMAIN","本次补漏","补齐软件仓库、包索引、运行时、状态页或静态资源"
"开发与下载","Docker","docker.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","Docker","docker.io","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","Docker","dockerstatic.com","","FORWARD_DOMAIN","本次补漏","补齐软件仓库、包索引、运行时、状态页或静态资源"
"开发与下载","Eclipse","eclipse.org","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","Fedora / Red Hat / Quay","epel.cloud","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","Fedora / Red Hat / Quay","fedoraproject.org","","FORWARD_DOMAIN","本次补漏","补齐软件仓库、包索引、运行时、状态页或静态资源"
"开发与下载","Fedora / Red Hat / Quay","quay.io","","FORWARD_DOMAIN","本次补漏","补齐软件仓库、包索引、运行时、状态页或静态资源"
"开发与下载","GitHub / Copilot","ghcr.io","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","GitHub / Copilot","github.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","GitHub / Copilot","github.dev","","FORWARD_DOMAIN","本次补漏","补齐软件仓库、包索引、运行时、状态页或静态资源"
"开发与下载","GitHub / Copilot","github.io","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","GitHub / Copilot","githubassets.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","GitHub / Copilot","githubcopilot.com","","FORWARD_DOMAIN","本次补漏","补齐软件仓库、包索引、运行时、状态页或静态资源"
"开发与下载","GitHub / Copilot","githubstatus.com","","FORWARD_DOMAIN","本次补漏","补齐软件仓库、包索引、运行时、状态页或静态资源"
"开发与下载","GitHub / Copilot","githubusercontent.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","GNU","gnu.org","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","Go","go.dev","","FORWARD_DOMAIN","本次补漏","补齐软件仓库、包索引、运行时、状态页或静态资源"
"开发与下载","Go","golang.org","","FORWARD_DOMAIN","本次补漏","补齐软件仓库、包索引、运行时、状态页或静态资源"
"开发与下载","Homebrew","brew.sh","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","Kubernetes","k8s.io","","FORWARD_DOMAIN","本次补漏","补齐软件仓库、包索引、运行时、状态页或静态资源"
"开发与下载","Node.js / npm / CDN","jsdelivr.net","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","Node.js / npm / CDN","nodejs.org","","FORWARD_DOMAIN","本次补漏","补齐软件仓库、包索引、运行时、状态页或静态资源"
"开发与下载","Node.js / npm / CDN","npmjs.org","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","Node.js / npm / CDN","unpkg.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","Python / PyPI","pypi.org","","FORWARD_DOMAIN","本次补漏","补齐软件仓库、包索引、运行时、状态页或静态资源"
"开发与下载","Python / PyPI","python.org","","FORWARD_DOMAIN","本次补漏","补齐软件仓库、包索引、运行时、状态页或静态资源"
"开发与下载","Python / PyPI","pythonhosted.org","","FORWARD_DOMAIN","现有保留","原清单保留"
"开发与下载","SourceForge","sourceforge.net","","FORWARD_DOMAIN","现有保留","原清单保留"
"支付服务","Braintree","braintree-api.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"支付服务","Braintree","braintreegateway.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"支付服务","Braintree","braintreepayments.com","","FORWARD_DOMAIN","本次补漏","补齐支付服务所需的根域或 Braintree 资源"
"支付服务","PayPal","paypal.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"支付服务","PayPal","paypal.me","","FORWARD_DOMAIN","现有保留","原清单保留"
"支付服务","PayPal","paypalobjects.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"支付服务","PayPay","paypay.ne.jp","","FORWARD_DOMAIN","本次补漏","补齐支付服务所需的根域或 Braintree 资源"
"支付服务","Venmo","venmo.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"工具与站点","Cloudflare","cloudflare.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"工具与站点","DMHY","dmhy.org","","FORWARD_DOMAIN","现有保留","原清单保留"
"工具与站点","Home Assistant","home-assistant.io","","FORWARD_DOMAIN","现有保留","原清单保留"
"工具与站点","OpenVPN","openvpn.net","","FORWARD_DOMAIN","现有保留","原清单保留"
"工具与站点","qBittorrent","qbittorrent.org","","FORWARD_DOMAIN","现有保留","原清单保留"
"工具与站点","Surge","nssurge.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"工具与站点","V2EX","v2ex.com","","FORWARD_DOMAIN","现有保留","原清单保留"
"工具与站点","Wikipedia","wikipedia.org","","FORWARD_DOMAIN","现有保留","原清单保留"
